Variable,N,Min,Median,Mean,SD,Max
fertility,158,1.1517,2.3000999999999996,2.7998493670886075,1.4013283709225555,6.970400000000001
GDPpc2015,155,289.856950614392,4860.091109805661,12243.641680589839,17545.300109193868,106544.05724172299
GDPpc,157,216.727705301976,4750.962736693221,12810.256151748416,18520.017378799457,110885.991378721
gov_exp,147,5.511813560007529,15.537894658937901,16.179201315253138,5.839645585214393,38.89908330326789
gov_exp_edu,147,0.462035885453224,4.359935730695719,4.432854151588036,1.6137248382314295,10.241653442382797
gov_exp_milit,143,0.04940842972856911,1.39543693570107,1.8835330553540046,1.523489541340896,9.18166070506449
inf_cpi,153,0.0250992350210895,3.1083289272176002,5.374777719210125,7.848038390855116,79.26305289049259
inf_def,157,-0.251167384153091,3.4413272483962007,5.640146127578828,6.736654915506936,44.897475099929906
investment,146,9.69007561642315,23.560844874079848,24.78772671165801,7.568575767850372,58.8227591566743
life_exp,158,45.596000000000004,72.1105,69.8815975609756,9.007095015163072,82.84268292682928
education,114,0.7371799945831301,31.287505149841294,36.54138824605104,27.482399938354746,101.69405364990203
tot,157,73.08400150585,100.40709827664,104.1908662608396,10.893386495008055,141.28215802769003
trade,147,22.92793287618329,76.1435068911641,87.5576858359383,51.66347513058422,344.50259321608195
cc_alt_cp,156,-1.5394431352615356,0.7997522875666618,0.3871555677149658,1.0142573435600732,1.6232457160949707
cc_alt_cp_lv,154,-1.2635612487792969,0.6320813298225403,0.3583069469088581,0.9123892585348726,1.39033842086792
cc_basic,158,-1.9892261028289795,0.5261722803115845,0.3447834666213217,1.0616860781467978,1.5875505208969116
cc_basic_lv,144,-1.3283876180648804,0.9018162488937378,0.2486297960260906,0.8513887999145293,0.9018162488937378
cc_civil,158,-1.671095371246338,0.8189638242125511,0.33209098973488316,0.9993852982826327,1.3993076086044312
cc_civil_lv,154,-1.3770041465759277,0.5423918962478638,0.27501281525504273,0.909571707826509,1.1821905374526978
cc_polit,156,-1.4068305492401123,0.6830056162551046,0.42206592460029896,1.0027013083428733,1.8115158081054688
cc_polit_lv,151,-0.9063568711280823,0.7428358197212219,0.4783330783360729,0.9075414198422401,1.567432165145874
cc_prop,158,-1.4103937149047852,0.06698350086808205,0.2511689584427179,1.1116126399028574,2.0130951404571533
cc_prop_lv,156,-1.061867117881775,0.20076890289783478,0.3409766630320759,0.9046926827274518,1.463404893875122
cc_total,158,-1.7338742017745972,0.653549212217331,0.3913389633527533,1.0759154759203031,1.972333550453186
cc_total_lv,157,-1.2696080207824707,0.6286626656850179,0.37356338809222583,0.9036834105444795,1.4103035926818848
dj_index,158,0.0,12.0,11.239421338155516,2.701970255405089,14.0
v2x_libdem,158,0.0063,0.39049999999999996,0.4238322784810126,0.2685308361633197,0.8926000000000001
v2x_polyarchy,158,0.0168,0.5458000000000001,0.5402012658227848,0.25501428060108594,0.9193
v2x_delibdem,158,0.0098,0.40485,0.4291683544303798,0.2524535527914394,0.8784
v2x_partipdem,158,0.009,0.33985,0.3503588607594937,0.20362842209289986,0.8064
v2x_egaldem,158,0.0633,0.344,0.4119126582278481,0.24138951732504352,0.8813
gov_exp_reduced,127,-0.2602295614312813,9.33069494835597,9.6401589174536,4.51130813115821,29.263214681458706
cc_total_growth_yty,158,-274.0077526442127,0.0,13.250892193074284,183.2531730187977,2208.5039004417144
cc_basic_growth_yty,158,-135.3798735056831,0.0,-2.962816984553189,35.09478944910486,145.46327261658413
cc_polit_growth_yty,154,-480.08819789966446,0.0,-16.254281086574064,86.45575952821626,490.8997699425009
cc_prop_growth_yty,157,-369.94689801884454,0.0,-7.402003960308987,39.52930467165776,70.74150416566265
cc_total_growth,150,-25882.460384753278,0.0,-32.92843564240175,2507.2318034211753,13398.46805413909
cc_basic_growth,150,-890.4642182259629,0.0,-4.166322024835782,231.30138942653238,1088.9049521826557
cc_polit_growth,147,-375.0320446981455,0.0,-18.424494532001574,103.44879121068296,795.2711280640997
cc_prop_growth,150,-1323.4808814258488,0.0,-35.10858461714644,169.32990237656745,673.4664105277161
terms_trade,157,73.08400150585,100.40709827664,104.1908662608396,10.893386495008055,141.28215802769003
log_GDPpc2015,155,5.669387527537529,8.488812463592412,8.483115314352293,1.4313740984516543,11.57631386160926
log_GDPpc,157,5.378641751325204,8.466102557900685,8.485768431677307,1.4768078554573847,11.616257847764778
log_cc_total_plus2,158,-1.323786156335123,0.9758973208233248,0.7255769448162902,0.6069836534252077,1.3793537180985724
log_cc_total_lv_plus2,157,-0.31417393111774,0.9664752247287307,0.7686367469289875,0.47402242498240416,1.2268013174444699
log_cc_prop_plus2,158,-0.5283002782330012,0.7260712581238973,0.6685986860643617,0.5630582624771955,1.3895627990668313
log_cc_basic_plus2,158,-4.530628998947872,0.9267052244179472,0.6349800145872979,0.9053183266062476,1.2774696634665577
log_cc_civil_plus2,158,-1.1119874524484479,1.036337557378395,0.6917602616887679,0.6492845254224747,1.2235717663556447
log_cc_polit_plus2,156,-0.5222751691006389,0.986925839136835,0.769136364311115,0.525543378075285,1.3380269599137729
tot_x_trade,146,2608.8000334065146,8001.355078821257,9018.841926842564,5106.87616880861,33156.64635189256
terms_trade_x_trade,146,2608.8000334065146,8001.355078821257,9018.841926842564,5106.87616880861,33156.64635189256
