Variable,GDP_growth,fertility,GDPpc2015,inf_def,investment,education,gov_exp_reduced,cc_total,v2x_libdem,terms_trade,trade,life_exp
GDP_growth,1.0,0.36912578951871244,-0.46174767136374495,0.14195422130204738,0.3068782876836568,-0.46490175964649255,-0.4368515205724508,-0.2396941549160146,-0.2895375327363964,-0.04016465486933083,-0.012926796746522067,-0.3733264320220842
fertility,0.36912578951871244,1.0,-0.7574154487341982,0.39944846941677675,0.038373006299729916,-0.7948788763512981,-0.3707663538877238,-0.4640864406585112,-0.49919025854580745,0.26490865095014,-0.35916149013166704,-0.8259173535065243
GDPpc2015,-0.46174767136374495,-0.7574154487341982,1.0,-0.4769644136613327,-0.05738615327656423,0.8019238168526356,0.41706171735241504,0.4241296103858027,0.5441176141314017,-0.06246967030192026,0.3603282778738196,0.8666079531884404
inf_def,0.14195422130204738,0.39944846941677675,-0.4769644136613327,1.0,0.188877199346998,-0.26626686656671666,-0.40254919499105546,-0.3671147515840327,-0.41074908755264783,0.22531348880815658,-0.2967509667096315,-0.48330745341614906
investment,0.3068782876836568,0.038373006299729916,-0.05738615327656423,0.188877199346998,1.0,-0.12349379885969552,-0.19714223585423915,-0.11472613145238268,-0.17155647701483295,0.06879842450312249,0.23701677297075188,-0.002800653001995284
education,-0.46490175964649255,-0.7948788763512981,0.8019238168526356,-0.26626686656671666,-0.12349379885969552,1.0,0.4778289947656663,0.5234329227048071,0.5689074585891654,-0.12050383750835342,0.38411639329070524,0.8053262842263079
gov_exp_reduced,-0.4368515205724508,-0.3707663538877238,0.41706171735241504,-0.40254919499105546,-0.19714223585423915,0.4778289947656663,1.0,0.42036692556863936,0.45067426581308806,-0.13397271561984986,0.3237198121645796,0.36061605545617176
cc_total,-0.2396941549160146,-0.4640864406585112,0.4241296103858027,-0.3671147515840327,-0.11472613145238268,0.5234329227048071,0.42036692556863936,1.0,0.8665151378434216,-0.3060377518609652,0.27930531468766406,0.3871857784178576
v2x_libdem,-0.2895375327363964,-0.49919025854580745,0.5441176141314017,-0.41074908755264783,-0.17155647701483295,0.5689074585891654,0.45067426581308806,0.8665151378434216,1.0,-0.33501001769189825,0.1850341659933759,0.5204001634300696
terms_trade,-0.04016465486933083,0.26490865095014,-0.06246967030192026,0.22531348880815658,0.06879842450312249,-0.12050383750835342,-0.13397271561984986,-0.3060377518609652,-0.33501001769189825,1.0,-0.0911518229639035,-0.20779273061881756
trade,-0.012926796746522067,-0.35916149013166704,0.3603282778738196,-0.2967509667096315,0.23701677297075188,0.38411639329070524,0.3237198121645796,0.27930531468766406,0.1850341659933759,-0.0911518229639035,1.0,0.2798435486021601
life_exp,-0.3733264320220842,-0.8259173535065243,0.8666079531884404,-0.48330745341614906,-0.002800653001995284,0.8053262842263079,0.36061605545617176,0.3871857784178576,0.5204001634300696,-0.20779273061881756,0.2798435486021601,1.0
