Group,N,rho,Alternative Two-Sided,Alternative Less,Alternative Greater
without_grouping,156,-0.2529104684951266,0.0014455638223353257,0.0007227819111676628,0.9992772180888323
rich,78,-0.21486349802297536,0.05887655510721823,0.029438277553609116,0.9705617224463909
poor,78,-0.047209734069790635,0.6814814142180038,0.3407407071090019,0.6592592928909982
Africa,48,0.020159769686966256,0.8918188851128194,0.4459094425564097,0.5540905574435904
America,27,-0.21719229971900098,0.2764990327287379,0.13824951636436894,0.8617504836356311
Asia,40,-0.0925179352714113,0.5701705851400626,0.2850852925700313,0.7149147074299687
Europe,35,-0.11525957799622182,0.5096880765097302,0.2548440382548651,0.7451559617451349
Pacific,6,-0.6571428571428573,0.1561749271137024,0.0780874635568512,0.9219125364431489
FR,71,-0.14673965445551784,0.22203823939787723,0.11101911969893861,0.8889808803010614
SO,30,-0.277986618898841,0.1369106899589073,0.06845534497945364,0.9315446550205464
UK,44,-0.19414472951193074,0.2066638367250324,0.1033319183625162,0.8966680816374838
GE,5,0.5270462766947299,0.3614548502018725,0.18072742510093626,0.8192725748990637
SC,5,-0.7,0.1881204043741873,0.09406020218709366,0.9059397978129063
ever_colonized,129,-0.1699460153134002,0.054171985787770036,0.027085992893885018,0.972914007106115
never_colonized,27,-0.4598214890949085,0.015815034547414474,0.007907517273707237,0.9920924827262928
